time,wx,wy,wz,yaw,pitch,roll
2024-10-14T10:26:46.320Z,-0.5061,-0.0342,-0.0581,0.1304,0.4106,-0.0128
2024-10-14T10:26:46.332Z,-0.5577,-0.1691,-0.0829,0.1304,0.4106,-0.0128
2024-10-14T10:26:46.342Z,-0.5340,-0.1516,-0.0846,0.1290,0.4023,-0.0144
2024-10-14T10:26:46.352Z,-0.4827,-0.0822,-0.0865,0.1275,0.3943,-0.0159
2024-10-14T10:26:46.362Z,-0.4225,0.0152,-0.0742,0.1275,0.3943,-0.0159
2024-10-14T10:26:46.371Z,-0.4225,0.0152,-0.0742,0.1261,0.3876,-0.0158
2024-10-14T10:26:46.381Z,-0.3775,0.1298,-0.0586,0.1251,0.3819,-0.0134
2024-10-14T10:26:46.392Z,-0.3251,0.3048,-0.0132,0.1251,0.3819,-0.0134
2024-10-14T10:26:46.402Z,-0.3172,0.3094,-0.0076,0.1247,0.3769,-0.0090
2024-10-14T10:26:46.412Z,-0.3405,0.2276,-0.0218,0.1245,0.3721,-0.0043
2024-10-14T10:26:46.421Z,-0.3405,0.2276,-0.0218,0.1245,0.3721,-0.0043
2024-10-14T10:26:46.432Z,-0.4425,0.0261,-0.0062,0.1241,0.3666,-0.0015
2024-10-14T10:26:46.442Z,-0.4935,-0.0700,0.0138,0.1239,0.3600,-0.0009
2024-10-14T10:26:46.452Z,-0.5273,-0.1775,0.0240,0.1239,0.3600,-0.0009
2024-10-14T10:26:46.462Z,-0.5495,-0.3219,0.0523,0.1242,0.3523,-0.0028
2024-10-14T10:26:46.472Z,-0.5630,-0.4461,0.0849,0.1250,0.3441,-0.0078
2024-10-14T10:26:46.482Z,-0.5777,-0.4653,0.1169,0.1250,0.3441,-0.0078
2024-10-14T10:26:46.492Z,-0.5761,-0.3600,0.1422,0.1265,0.3355,-0.0150
2024-10-14T10:26:46.502Z,-0.5126,-0.1533,0.1486,0.1285,0.3269,-0.0208
2024-10-14T10:26:46.512Z,-0.3864,0.0168,0.1248,0.1285,0.3269,-0.0208
2024-10-14T10:26:46.522Z,-0.2351,0.1279,0.0872,0.1306,0.3201,-0.0224
2024-10-14T10:26:46.532Z,-0.0907,0.1746,0.0767,0.1319,0.3165,-0.0209
2024-10-14T10:26:46.541Z,-0.0907,0.1746,0.0767,0.1319,0.3165,-0.0209
2024-10-14T10:26:46.554Z,0.0086,0.0891,0.0276,0.1330,0.3157,-0.0187
2024-10-14T10:26:46.562Z,-0.0297,0.0200,-0.0027,0.1335,0.3158,-0.0174
2024-10-14T10:26:46.573Z,-0.0674,-0.0327,-0.0240,0.1335,0.3158,-0.0174
2024-10-14T10:26:46.582Z,-0.0724,-0.0668,-0.0544,0.1333,0.3150,-0.0174
2024-10-14T10:26:46.593Z,-0.0493,-0.0801,-0.0751,0.1324,0.3140,-0.0180
2024-10-14T10:26:46.603Z,-0.0005,-0.0644,-0.0679,0.1324,0.3140,-0.0180
2024-10-14T10:26:46.612Z,0.0649,-0.0221,-0.0289,0.1313,0.3136,-0.0186
2024-10-14T10:26:46.622Z,0.1051,-0.0144,0.0035,0.1308,0.3146,-0.0188
2024-10-14T10:26:46.632Z,0.0895,-0.0318,0.0052,0.1308,0.3146,-0.0188
2024-10-14T10:26:46.642Z,0.0184,-0.0231,-0.0183,0.1309,0.3160,-0.0191
2024-10-14T10:26:46.652Z,-0.0930,-0.0152,-0.0333,0.1306,0.3162,-0.0192
2024-10-14T10:26:46.662Z,-0.2134,-0.0045,-0.0303,0.1306,0.3162,-0.0192
2024-10-14T10:26:46.673Z,-0.3038,0.0326,-0.0216,0.1301,0.3139,-0.0192
2024-10-14T10:26:46.681Z,-0.3038,0.0326,-0.0216,0.1296,0.3094,-0.0185
2024-10-14T10:26:46.693Z,-0.3151,0.0603,-0.0133,0.1296,0.3094,-0.0185
2024-10-14T10:26:46.703Z,-0.2542,0.0257,-0.0038,0.1293,0.3046,-0.0173
2024-10-14T10:26:46.713Z,-0.1762,0.0405,0.0116,0.1292,0.3008,-0.0167
2024-10-14T10:26:46.721Z,-0.1762,0.0405,0.0116,0.1292,0.3008,-0.0167
2024-10-14T10:26:46.733Z,-0.0755,0.0804,0.0053,0.1294,0.2988,-0.0158
2024-10-14T10:26:46.742Z,-0.0886,0.0537,-0.0176,0.1294,0.2977,-0.0146
2024-10-14T10:26:46.753Z,-0.1356,0.0237,-0.0234,0.1294,0.2977,-0.0146
2024-10-14T10:26:46.761Z,-0.1356,0.0237,-0.0234,0.1291,0.2961,-0.0139
2024-10-14T10:26:46.771Z,-0.2144,0.0333,-0.0166,0.1288,0.2930,-0.0133
2024-10-14T10:26:46.782Z,-0.3268,0.0783,0.0004,0.1288,0.2930,-0.0133
2024-10-14T10:26:46.793Z,-0.3514,0.0983,-0.0031,0.1287,0.2885,-0.0121
2024-10-14T10:26:46.802Z,-0.3514,0.0983,-0.0031,0.1286,0.2832,-0.0106
2024-10-14T10:26:46.812Z,-0.3733,0.0750,-0.0098,0.1286,0.2832,-0.0106
2024-10-14T10:26:46.821Z,-0.3760,0.0637,-0.0063,0.1284,0.2777,-0.0094
2024-10-14T10:26:46.831Z,-0.3594,0.1292,0.0060,0.1285,0.2724,-0.0073
2024-10-14T10:26:46.841Z,-0.3153,0.2276,0.0059,0.1285,0.2724,-0.0073
2024-10-14T10:26:46.853Z,-0.2311,0.2657,-0.0433,0.1284,0.2680,-0.0034
2024-10-14T10:26:46.861Z,-0.2311,0.2657,-0.0433,0.1277,0.2645,0.0007
2024-10-14T10:26:46.871Z,-0.2158,0.2116,-0.0655,0.1277,0.2645,0.0007
2024-10-14T10:26:46.881Z,-0.2362,0.1438,-0.0752,0.1266,0.2611,0.0038
2024-10-14T10:26:46.891Z,-0.2843,0.0894,-0.0710,0.1255,0.2568,0.0056
2024-10-14T10:26:46.905Z,-0.4248,0.0381,-0.0738,0.1244,0.2509,0.0066
2024-10-14T10:26:46.911Z,-0.4248,0.0381,-0.0738,0.1244,0.2509,0.0066
2024-10-14T10:26:46.921Z,-0.4953,0.0205,-0.0829,0.1232,0.2435,0.0074
2024-10-14T10:26:46.931Z,-0.5399,0.0351,-0.0892,0.1232,0.2435,0.0074
2024-10-14T10:26:46.941Z,-0.5821,0.0617,-0.0591,0.1221,0.2351,0.0084
2024-10-14T10:26:46.954Z,-0.6216,0.1128,-0.0056,0.1218,0.2260,0.0102
2024-10-14T10:26:46.961Z,-0.6216,0.1128,-0.0056,0.1218,0.2260,0.0102
2024-10-14T10:26:46.971Z,-0.6361,0.0624,-0.0170,0.1218,0.2166,0.0117
2024-10-14T10:26:46.981Z,-0.6479,-0.0117,-0.0325,0.1215,0.2069,0.0116
2024-10-14T10:26:46.991Z,-0.6265,-0.0959,-0.0448,0.1215,0.2069,0.0116
2024-10-14T10:26:47.004Z,-0.5426,-0.1738,-0.0253,0.1209,0.1979,0.0100
2024-10-14T10:26:47.011Z,-0.5426,-0.1738,-0.0253,0.1205,0.1897,0.0076
2024-10-14T10:26:47.021Z,-0.5418,-0.1887,-0.0196,0.1205,0.1897,0.0076
2024-10-14T10:26:47.031Z,-0.5753,-0.1968,-0.0042,0.1204,0.1813,0.0048
2024-10-14T10:26:47.041Z,-0.6296,-0.1743,0.0114,0.1206,0.1718,0.0022
2024-10-14T10:26:47.055Z,-0.6676,-0.1452,0.0161,0.1209,0.1617,0.0002
2024-10-14T10:26:47.062Z,-0.6676,-0.1452,0.0161,0.1209,0.1617,0.0002
2024-10-14T10:26:47.071Z,-0.6098,-0.2202,-0.0083,0.1209,0.1525,-0.0029
2024-10-14T10:26:47.081Z,-0.5492,-0.2539,-0.0135,0.1209,0.1525,-0.0029
2024-10-14T10:26:47.091Z,-0.4838,-0.2188,-0.0162,0.1206,0.1448,-0.0063
2024-10-14T10:26:47.104Z,-0.3233,-0.0927,-0.0230,0.1202,0.1386,-0.0087
2024-10-14T10:26:47.111Z,-0.3233,-0.0927,-0.0230,0.1202,0.1386,-0.0087
2024-10-14T10:26:47.121Z,-0.2210,-0.0030,-0.0427,0.1197,0.1345,-0.0092
2024-10-14T10:26:47.131Z,-0.1330,0.0887,-0.0572,0.1189,0.1325,-0.0078
2024-10-14T10:26:47.141Z,-0.1038,0.1259,-0.0573,0.1189,0.1325,-0.0078
2024-10-14T10:26:47.155Z,-0.2019,0.1330,-0.0200,0.1181,0.1307,-0.0057
2024-10-14T10:26:47.161Z,-0.2019,0.1330,-0.0200,0.1177,0.1276,-0.0036
2024-10-14T10:26:47.171Z,-0.2889,0.1089,-0.0120,0.1177,0.1276,-0.0036
2024-10-14T10:26:47.181Z,-0.3811,0.0474,-0.0001,0.1176,0.1226,-0.0023
2024-10-14T10:26:47.191Z,-0.4215,-0.0871,0.0232,0.1179,0.1164,-0.0034
2024-10-14T10:26:47.204Z,-0.3266,-0.1976,0.0519,0.1179,0.1164,-0.0034
2024-10-14T10:26:47.211Z,-0.3266,-0.1976,0.0519,0.1186,0.1110,-0.0061
2024-10-14T10:26:47.221Z,-0.2800,-0.2140,0.0445,0.1193,0.1066,-0.0092
2024-10-14T10:26:47.231Z,-0.2731,-0.2079,0.0486,0.1193,0.1066,-0.0092
2024-10-14T10:26:47.241Z,-0.2843,-0.1916,0.0531,0.1200,0.1025,-0.0122
2024-10-14T10:26:47.253Z,-0.2849,-0.1199,0.0267,0.1206,0.0981,-0.0144
2024-10-14T10:26:47.261Z,-0.2849,-0.1199,0.0267,0.1206,0.0981,-0.0144
2024-10-14T10:26:47.271Z,-0.2698,-0.1061,-0.0034,0.1207,0.0940,-0.0161
2024-10-14T10:26:47.281Z,-0.2475,-0.0720,-0.0317,0.1202,0.0903,-0.0170
2024-10-14T10:26:47.291Z,-0.2252,-0.0313,-0.0517,0.1202,0.0903,-0.0170
2024-10-14T10:26:47.304Z,-0.2262,-0.0891,-0.0561,0.1193,0.0870,-0.0173
2024-10-14T10:26:47.312Z,-0.2262,-0.0891,-0.0561,0.1184,0.0836,-0.0184
2024-10-14T10:26:47.321Z,-0.2250,-0.1086,-0.0280,0.1184,0.0836,-0.0184
2024-10-14T10:26:47.331Z,-0.1949,-0.0823,-0.0203,0.1180,0.0805,-0.0197
